Year	TeamID	Team	AwardTitle	AwardType	AwardSubType	AwardDecision	AwardGroup	AwardIcon
2008	119	LCG-UNAM-Mexico	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	155	Lethbridge_CCS	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	129	METU_Turkey	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	128	MIT	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	85	Melbourne	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	134	Mexico-UNAM-IPN						
2008	138	Michigan	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	101	Minnesota	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	144	Mississippi_State	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	146	Missouri_Miners	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	139	Montreal						
2008	117	NTU-Singapore	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	116	NYMU-Taipei	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	104	Newcastle_University	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	136	Paris	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	120	Peking_University						
2008	100	PennState	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	87	Peru						
2008	97	Polytech						
2008	160	Prairie_View	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	76	Princeton						
2008	154	Purdue	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	96	Rensselaer						
2008	122	Rice_University	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	133	Slovenia	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	162	Sofia_BG						
2008	115	TUDelft	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	151	TU_Munchen						
2008	132	Tianjin	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	121	Tokyo_Tech	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	161	Toronto_Bluegenes						
2008	108	Tsinghua	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	106	UCSF	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	112	UC_Berkeley	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	111	UC_Berkeley_Tools	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	81	UNIPV-Pavia	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	82	USTC	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	123	University_of_Alberta	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
